Ward Number	Ward Name	Category	Assembly Constituency	Corporator Name	Population	Male	Female	Localities in the ward
38	H.M.T Ward (Ward No:38)	General (Women)	Rajarajeshwari Nagar	Asha Suresh	29764	16281	13483	Muneshwara Nagar, Yashwanthpur Industrial Area, Platinum City, Netaji Nagar, Peenya, Peenya Industrial Area II Phase, CMTI Quarters, Civil Engineers Quarters, Gurguntepalya (P)
42	Lakshmidevi Nagar Ward (Ward No:42)	Backward Category A	Rajarajeshwari Nagar	Thimmaraju	25578	13425	12153	Goragunte playa (P), Lakshmidevi Nagar, Kempamma Layout, Kaveri Nagar, Nandini Layout I Stage, Narasimha Layout, Yeshwanthpur Industrial Suburb (P), Jenakal Siddeshwara Nagar
16	Jalahalli Ward (Ward No:16)	Scheduled Caste	Rajarajeshwari Nagar	R.Narayanaswamy	29037	15087	13950	HMT staff quarters, Jalahalli, BEL quarters, Khatha Nagar, Siddarth Nagar, Ayyappa Nagar
17	J.P.Park Ward (Ward No:17)	General	Rajarajeshwari Nagar	B.R.Nanjundappa	35174	18629	16545	Poornappa Garden, Sundar Nagar, Gokul Extension, Badappa Garden, Muthyalamma Nagar, Tannirahalli, Matthikere kere (J P Park), SBM Colony, Brindavan Nagar, Mohan Kumar Nagar, HMT Layout
37	Yeshwanthpur Ward (Ward No:37)	General	Rajarajeshwari Nagar	Munirathna	35972	18861	17111	Yeshwanthpura, Gurumurthy Layout, Kamala Nehru Extn, GK Colony, LN Colony, Dr.Ambedkar Nagar, Railway Qtrs, Pampa Nagar, LIC Colony, BK Nagar
69	Laggere Ward (Ward No:69)	General	Rajarajeshwari Nagar	Lakshmikantha Reddy	25370	13425	11945	Preethi Nagar, Vidhana Soudha Layout, Freedom Fighters Colony, Laggere, Narashima Murthy Nagar, LG Ramanna Colony Muneshwara Nagar, Rajeshwari Nagar, Rajiva Gandhi Nagar
73	Kottigepalya Ward (Ward No:73)	General	Rajarajeshwari Nagar	S.Venkatesh Babu	29100	15812	13288	Kempegowda Nagara (P), Kempegowda Layout (P), Choudeshwari Nagar, Premnagar, Sreenivas Nagar, Sunkadakatte, AshwathNagar, Muktharayaswamy Layout, TelephoneEmployees Layout, Beggars Colony, Rudeshwara Nagar, Narasimharaja Palya, Sajjepalya, Kottegepalya, Nagarbavi 2nd Stage 1st - 3rd - 5th - 7th - 8th -9th - 10th - 11th Block, Krishnanda Nagar, Malegalu, IncomeTax Layout, Marilingappa Extn, Vinayaka Layout, Srighanda Nagar (P)
129	Jnanabharathi Ward Ward (Ward No:129)	Backward Category B	Rajarajeshwari Nagar	Govinda Raju	25889	13758	12131	Bhairaveswara Layout, Hanumantha Nagar, Sunkadakatte, Basaveshwara Nagar, Annapurneswari Nagar, Durgaparameswari Layout, Rajiv Gandhi Nagar, Nagarbavi 2nd Stage 2nd -6th -12th Blocks, Veeranapalya, Narsapura, Arogya Layout, Obarappa Layout, Pappreddy Palya, Gowramma Layout, Chandrashekar Layout, Vishveswaraiah Layout 9th Block, KHDS Layout, Kadukudere Layout, ITI Employees Layout, MPM Layout, Kengunta, Malathalli, NGEF HBCS Layout, HMT Layout, Railway Layout, Jnanajyothi Nagar, Balaji Layout, NGEF Layout, Sri Hari Layout, Ganganagar, Tubsamma Layout, Bavani Nagar Layout, Munneswar Nagar, Annapurneswari Layout, Govt. Press Layout, Jnanaganga Layout, Jnana Barathi (Bangalore University), Sapthagiri Layout, Forest Layout
160	Rajarajeshwari Nagar Ward (Ward No:160)	General	Rajarajeshwari Nagar	B.H.Ramachandra	23282	12092	11190	Pramod House Building Society, Puspagiri Nagar, Bagegowda Layout, P S Reddy Layout, P G D’souza Layout, Muneswara Nagar, Sharad D’souza Layout, Javarayanadoddi, Suryavanshi Layout, Rajarajeshwari Nagar 2nd stage, Kenchanahalli, BHEL Layout, Ideal Homes, Bangarappa Nagar, Durga Nagar, Gurudatha Layout, Sapthagiri Layout, Haridas Nagar, Gottigere Layout, Sudarshan Layout, Gottigere, Halage Vaderahalli, Shivanna Layout, M G Layout, Papayya Layout, Durga Parameshwari Layout, RR Nagar 5th Stage, RR Nagar 3rd stage, BEML Layout, Basaveshwara Layout, Sudarshana Layout, Panchasheela Nagar, University Layout, Kalegowda Layout, Nandadeep Layout, Sachidanand Nagar, Channasandra Layout, Channasandra, Bharat Housing Society layout (P), Happy Valley Layout (P), Raja Gardenia (P), Hosakerehalli kere, Halage Vaderahalli Kere
130	Ullalu Ward (Ward No:130)	Backward Category A	Yeshwanthpur	Rajanna	20332	10468	9864	Vishveshweraiah Nagar 6th Block, Ambedkar Nagar, Ullalu Upanagar, Upakar Layout, SMV 5th Block, SMV 4th Block, AGS Layout, SMV 3rd Block, Vinayaka Layout, Ghavipuram HBCS Layout, Jnanabharati Layout 2nd Stage, KPSC Layout, Subash Nagar, Jagajothi Nagar, Bhuvaneshwari Nagar, Mariyappanpalya, Kalyan Housing Society Layout, RR Layout, Nagadevanahalli, Doddagollarhatti, Maruthi Nagar, SMV 1st Block, Sonnenahalli, Oddarapalya, Kengeri Satellite Town 3rd Stage (P), Panthar Palya
159	Kengeri Ward (Ward No:159)	General	Yeshwanthpur	Ra. Anjanappa	24870	12879	11991	Classic County Layout, Gandhi Nagar, Kengeri Satellite Town, Vishveshwraiah Nagar, Basaweshwar Layout, Oddarahalli, Sri Kanteshwar Layout, Kengeri Satellite Town 3rd Stage (P), Krishnappa Garden, Volagarahalli, Muddanna Garden, Harsha Layout, Kengeri, Babasaheb Layout, BSM Extension
198	Hemmigepura Ward (Ward No:198)	Backward Category A (Women)	Yeshwanthpur	Veena Nagaraj	24311	12926	11385	Part I: Existing RR Nagar CMC ward No. 19, Part II: Kengeri Upanagar (P), BEML Layout, Mailsandra, BHEL Layout, Patanagere, Remco Housing Society, BHEL 2nd Stage, Sri Krishna Garden, BEML Layout 7th Stage, Kodipalya, Sunkalpalya, Srinivaspur, BSK 6th Stage 11th Block, Meenakshi Residency Layout, Annapurneshwari Layout, BSK 6th Stage 9th And 10th Block, BSK 6th Stage 2nd Block, BSK 6th Stage 7th Block, Omkar Layout, BSK 6th Stage 4th Block, Aditya Layout, Sunilmitra Layout, Sri Balgi Layout, BCMEHS Layout, Bank Officers Layout, BCMC Layout, Vajrahalli, BCC Layout, Pearl Garden, Paramount Garden, Thalghattapura, Judicial Layout 2nd Stage, Hemegepura, Ganakal, Hosahalli, Lingadheeranahalli, Raguvanahalli, Somapura, Varahasandra, UM Kaval (P)
40	Dodda Bidarkallu Ward (Ward No:40)	General (Women)	Yeshwanthpur	T.A. Gayatri	19349	10204	9145	Channanayakanahalli, Jagannatha Rao Layout, Gopalappa Layout, Maranna Narayanappa Layout, Lingadeeranahalli, Siddartha Layout, Tippenahalli, Suvarna Nagar, Wipro Layout, Gruhalakshmi Housing Colony (P), Indranagar, Nagasandra, Residential Layout, Proposed Inregreted Layout, Karibanahalli, Tigalara Palya, Mubarak Nagar, Vaddara Palya, Raghavendra Nagar, Maruthi Nagar IV Phase, Kalki Nagar, Handrihalli, Vidhyamana Nagara, Doddanna Layout, Class D Employees Housing Layout, Hosahalli G Palya, Sri Ramanagaiah Layout, D Group Layout I Stage, Congress Chikkanna Layout, Doddabedrakallu, Sapthagiri Layout
72	Herohalli Ward (Ward No:72)	Backward Category B	Yeshwanthpur	A.M.Hanumanthe Gowda	19668	10421	9247	Horanadu Annapoorneshwari Layout, Nagaravale Nagar, Janapriya Nagar, SBI colony, Mahadeshwara Nagar, KSRTC Layout, Muddeshwara Layout, Venkateshwara Layout, Syndicate Bank Housing Society Layout, Herohalli, L and T Layout, Anjana Nagar, Byadarahalli, Bharath Nagar I Phase, BEL Layout I Stage, SMV Layout, BEL Layout II Phase, Bharath Nagar II Phase, SMV VI and VII block, Janatha colony, Vishveshwaraiah Layout, SMV Layout 8th Phase, Gidada Konenahalli, Byraweshwara Nagar, SMV Layout Nagar, Janapriya Apartment
154	Basavangudi Ward (Ward No:154)	General	Basavanagudi	B.S. Sathyanarayana	36015	18396	17619	Basavanagudi (P), N R Colony, Tata Silk Farm, Tyagaraja Nagar
155	Hanumantha Nagar Ward (Ward No:155)	General	Basavanagudi	K.Chandra Shekar	35065	18137	16928	Brindavana Nagar, Gavipuram extension, Gavipuram, Hanumath Nagar (P), Deer Park, Kempambudhi Kere
156	Sri Nagar Ward (Ward No:156)	General	Basavanagudi	T.Thimme Gowda	36045	18793	17252	Harishta Nagar, Kalidasa Nagar, Pipeline Weaver’s colony, Banashankari 1st Stage, Muneshwara block, Kallappa block, Srinagar, Dasarahalli (P), Dasarahalli south block, Nagendra block, SBM colony
162	Giri Nagar Ward (Ward No:162)	General (Women)	Basavanagudi	H.S.Lalitha	34912	18208	16704	Girinagar 1st and 2nd phases, Writers colony, Dasarahalli (P), Nagendra block, Srinivasanagar (P), Banasankari 3rd Stage - 3rd and 5th blocks, Hosakerehalli Layout
163	Katriguppe Ward (Ward No:163)	Backward Category A	Basavanagudi	D.Venkatesh Murthy	35736	18769	16967	Srinivasanagar (P), Siddhi Vinayaka Housing colony, Vivekananda Nagar, Poorna Prajna Housing Layout, Banasankari 3rd Stage – 4th 6th and 8th blocks, Kathriguppe, Siddarth Layout
164	Vidyapeetha Ward (Ward No:164)	Backward Category A	Basavanagudi	M.Venkatesh	34535	18083	16452	Hanumath Nagar (P), Banasankari 1st stage, Ashok Nagar, Srinivasanagar (P), Gururaja Layout, Banasankari 3rd stage - 6th block, Chennamma kere Layout
146	Lakkasandra Ward (Ward No:146)	General	B T M Layout	K.Mahesh Babu	28303	14909	13394	Pothulappa Garden, Eramma Layout, MICO Area, Adugodi (P), Pukaraj Layout, Nanjappa Layout, Rangadasappa Layout, Govardhan Nagar, Chandrappa Nagar, Lakasandra, Sattar Layout, Lalji Nagar, V K Rangaswamy Layout, Sampangi Ram Nagar, NIMHANS Staff Quarters, Mahalingeshwar Layout, KMF Area, Chikkalakshmaiah Layout, Gupta Layout (P)
147	Adugodi Ward (Ward No:147)	General	B T M Layout	Murugesh Modalayar	29945	15676	14269	Rajendra Nagar, Rajendra Nagar slum, Venkataswamy Reddy layout, Mallappa Reddy layout, Nanjappa Reddy Layout, K R Nanjappa Layout, NDRI campus, Adugodi (P), Kaveri Sankeerna, Police Quarters, Netravathi 1 to 10 blocks, Nandi Sankeerna 1 to 32 blocks and Tippu blocks, Koramangala 7th block
148	Ejipura Ward (Ward No:148)	General (Women)	B T M Layout	P.M.Saroja	29105	15316	13789	Ejipura, Gowda Muniswamy Garden, Chandra Reddy Layout, Venkappa Garden, Ashwini Layout, Green Leaf Extension, Shinivagilu, Shinivagilu Tank bed layout, AK Colony, National Games Housing Complex
151	Koramangala Ward (Ward No:151)	Backward Category A (Women)	B T M Layout	B.N.Kokila	35359	18434	16925	K R Garden, Koramangala 6th block, KHB block, Kathali Palya, Koramangala 4th B block, Koramangala 5th and 5th A block, KHB colony, John Nagar, Nirmala block, Mestri Palya, Koramangala 3rd block, Jakkasandra block, Koramangala 1st and 1st A blocks, SBI colony, Koramangala 2nd block, Koramangala 8th Block and Kormangala Village
152	Sudduguntepalya Ward (Ward No:152)	General	B T M Layout	M.Manjunath	35910	19341	16569	Suddagunte palya, Venakateshwar Layout, Kaveri Layout, Bhurappa Layout, Jogi slum, Chikka Adugodi, Bovi Colony, Bharath Nagar, Krishnamurhy Layout, Brindavan Nagar, Ramaiah Garden, Maruthi Nagar, Balaji Nagar, Bharathi Layout, Bhavani Nagar
172	Madiwala Ward (Ward No:172)	General	B T M Layout	B.N.Manjunath Reddy	35155	19121	16034	Tavarekere (P), Madduraman Nagar, Chikka Madivala, Madivala, Dollar Scheme colony, Jai Bheema Nagar, BTM Layout 1st stage, Aicobo Nagar
173	Jakkasandra Ward (Ward No:173)	General (Women)	B T M Layout	Sarswathamma	24088	13045	11043	KSRP Quarters, Teachers colony, Jakkasandra, Venkatapura, HSR Layout – Sector 5 (P)
176	BTM Layout Ward (Ward No:176)	General	B T M Layout	G.N.R. Babu	34436	18502	15934	Vysya Bank Colony, MICO Layout, Nainappa Setty playa, BTM Layout 2nd Stage, Someshwar Colony, KAS officers colony, Central Excise and Customs quarters, Madina Nagar, Abbayyappa Layout, Ambedkar slum
118	Sudam Nagar Ward (Ward No:118)	Scheduled Caste	Chikkpet	A. Avvayi	32202	16552	15650	Rajaram Mohanroy extension, Srinivas Colony, Vinoba Nagar, Sudham Nagar (P), Kalasipalya (P)
119	Dharmarayaswamy Temple Ward Ward (Ward No:119)	Backward Category A	Chikkpet	P.Dhanraj	33199	18193	15006	Ganigarpete, Halsurpete, Kumbara Gundi, Kalasipalya Market, Kalasipalyam, New Bamboo Bazar, Nagarathpete, Tigalara pete
142	Sunkenahalli Ward (Ward No:142)	General	Chikkpet	P.N.Sadashiva	36158	18645	17513	Vinayaka Extension, Kempegowda Nagar, Gandhi Bazar, Sunkenahalli, Shankarapuram
143	Visvesvarapuram Ward (Ward No:143)	General	Chikkpet	S.Anil Kumar	36093	18362	17731	Chikkanna Garden, Parvathipura, Mavalli, Upparahalli, Lalbagh Botanical Garden, Visweshwarapuram, Lalbagh kere
144	Siddapura Ward (Ward No:144)	General	Chikkpet	M Udaya Shankar	32194	16731	15463	Siddapura, Dayananda Colony, Arekempanahalli, Someshwar Nagar, NIMHANS campus
145	Hombegowda Nagar Ward (Ward No:145)	General	Chikkpet	D.Chandrappa	36455	18693	17762	Sudhama Nagar, Hombegowda Nagar, Wilson Garden, NGO’s colony, Chinnayanapalya, Gupta Layout (P)
153	Jayangar Ward (Ward No:153)	General (Women)	Chikkpet	Gangambike	35963	18173	17790	Basavanagudi (P), Kanakanapalya, Jayanagar 1st and 2nd blocks, Jayanagar 3rd East block, RBI Extension, RBI colony, S R Krishnappa Garden
103	Kaveripura Ward (Ward No:103)	General	Govindrajnagar	R.Prakash	35256	19274	15982	Kamakshipalya Industrial Estate, Pete Chennappa Industrial Estate, Kaveripura Priyadarshini Layout, Ranganathpura, HVR Layout, Syndicate Bank Colony, Prashanth Nagar Colony, Sampige Layout, Rajiv Nagar, Srishaila Nagar, Muneswara Nagar, Pattigara Palya, Saraswathi Nagar
104	Govindraja Nagara Ward (Ward No:104)	Backward Category A	Govindrajnagar	Mohan Kumar	25773	13565	12208	Prashanth Nagar, Corporation Colony, BMP Colony, Govindaraja Nagar, Magadi Chord road Layout, Thimmenahalli, CHBS Layout, Binni Layout, Vijaya Nagar 1st Stage
105	Agrahara Dasarahalli Ward (Ward No:105)	Backward Category A (Women)	Govindrajnagar	Roopa Devi	26857	14141	12716	Indira Colony, West of Chord road 4th Stage, Agrahara Dasarahalli, Oddarapalya (P)
106	Dr.Rajkumar Ward Ward (Ward No:106)	General	Govindrajnagar	Ganga Byraiah	24752	13012	11740	Rajaji Nagar Industrial town, Oddarapalya (P), Rajaji Nagar 6th block, Police Colony
125	Marenahalli Ward (Ward No:125)	Backward Category A (Women)	Govindrajnagar	N.Shakuntala	20068	10430	9638	Amarjyothi Nagar, Saraswathi Nagar, Kanaka Nagar, Marenahalli
126	Maruthi Mandira Ward Ward (Ward No:126)	General	Govindrajnagar	V.Vagish	21784	11421	10363	Madhura Nagar, Vinayaka Layout, GKW Layout, Vijayanagar (P), Canara Bank Colony
127	Moodalapalya Ward (Ward No:127)	Backward Category A (Women)	Govindrajnagar	N.Shantha Kumari	24487	12816	11671	Panchasheela Nagar, Lakkappa Garden, Kurilingappa Garden, Annapurneshwari Nagar, Mudalapalya, Shantha Kaveri Gopala Nagar, Adarsha Nagar, Shakthi Nagar, Kalyana Nagar, Bairaveshwar Nagar
128	Nagarabhavi Ward (Ward No:128)	General	Govindrajnagar	K.Umesh Shetty	20269	10408	9861	Chalukya Nagar, Hoysala Nagar, Nagarabhavi, Manasa Nagar, Madhura Nagar, Anand Jyothi Nagar, BDA Layout, Chandra Layout, Ahamad Nagar (P), Teachers colony, Gangodanahalli
131	Nayandanahalli Ward (Ward No:131)	General (Women)	Govindrajnagar	H.S.Rajeshwari	22878	11987	10891	Nayandahalli, Chandra Layout Extension, Chandra Layout II Stage, Metro Layout, Dr. Ambedkar Nagar
168	Pattabhiram Nagar Ward (Ward No:168)	General	Jayanagar	C.K.Ramamurthy	30989	15751	15238	Jayanagar 4th Block, Pattabhirama Nagar, 4th T Block ( Tilak Nagar), Jayanagar 5th Block
169	Byrasandra Ward (Ward No:169)	Backward Category A	Jayanagar	N.Nagaraj	30638	15760	14878	Bairasandra Extension, Jayanagar 3rd Block East, Canara Bank Colony, BCC Layout, LIC Colony
170	Jayanagar East Ward (Ward No:170)	Backward Category A	Jayanagar	Muni Sanjeevaiah	30846	15964	14882	NAL Layout, URS Colony, Jayanagar 9th Block, KEB Colony, Vysya Bank Colony
171	Gurappanapalya Ward (Ward No:171)	General	Jayanagar	Mahamod Rijwan Nawab	35828	18839	16989	Bismilla Nagar, Tavarekere, Gurappanapalya, Maruthi HBS Layout, KEB Colony
177	J.P.Nagar Ward (Ward No:177)	Backward Category A	Jayanagar	N.Chandrashekar Raju	28508	14747	13761	JP Nagar 2nd Phase, JP Nagar 3rd Phase, JP Nagar 4th Phase (Sarakki Dollar Layout), Shivananda Sharma Memorial RV College
178	Sarakki Ward (Ward No:178)	General	Jayanagar	S,K.Nataraj	26707	13870	12837	Sarakki, JP Nagar 6th Phase, LIC Quarters
179	Shakambari Nagar Ward (Ward No:179)	Backward Category A	Jayanagar	B.Somashekar	23239	11733	11506	Jayanagar 8th Block, Jayanagar 5th Block, TMC Layout, J.P.Nagar 1st Phase, Shakambari Nagar
161	Hosakerehalli Ward (Ward No:161)	General	Padmanabhanagar	H.Narayan	21185	11041	10144	Banashankari 3 stage, Hosakerehalli, Dattatreya Nagar, Mookambika Nagar, Vidyhasagar, NCERT, PES Institute of technology
165	Ganeshmandira Ward Ward (Ward No:165)	Backward Category A	Padmanabhanagar	L.Govindaraju	23101	11988	11113	Banashankari 3rd Stage (p), Banashankari 2nd Stage, Kempegouda Institute Of Medical Science, BNM College
166	Karisandra Ward (Ward No:166)	General (Women)	Padmanabhanagar	Jyothishree Hari Reddy	30206	15445	14761	JayaNagar 7th Block, National College, Karisandra
167	Yadiyuru Ward (Ward No:167)	Backward Category A	Padmanabhanagar	S.R.Ramesh	34591	17857	16734	Byrappa Block, Krishna Block, Tyagaraj Nagar, Shastri Nagar, Yediyur, JayaNagar 6th Block, Gupta Layout, Vijayarangam Layout, City Centre Library
180	Banashankari Temple Ward Ward (Ward No:180)	General	Padmanabhanagar	Mahamad Ali	34022	17451	16571	Teacher’s Colony, Bhavani Nagar, Eshwar Nagar, Vivekanada Colony, Sarabanda Palya, Gangadhar Nagar, Yarab Nagar, Omarbhagh
181	Kumaraswamy Layout Ward (Ward No:181)	Backward Category A	Padmanabhanagar	H.Suresh	35384	18649	16735	Kadirenahalli, Bendre Nagar, Kumaraswamy layout 1st and 2nd stage, ISRO layout, Kanakagruha layout, Vsasudha Bhavan, Dayananda Sagar Engineering Collage
182	Padmanabha Nagar Ward (Ward No:182)	General	Padmanabhanagar	L.Srinivas	25454	13131	12323	Kattriguppe 4th phase (P), Padmanabhanagar, RK layout, Brundavana layout, Rajiv Nagar, Regional Institute of Co-operative management, Syndicate Bank colony, Bharat Housing Society layout, Gowdanapalya kere
183	Chikkalasandra Ward (Ward No:183)	General	Padmanabhanagar	B.S.Venkata Swamy	24677	12995	11682	Rangappa layout, Kattriguppe 3rd phase, Kattriguppe 4th phase, Chikkallasandra, Kamakya Theatre
122	Kempapura Agrahara Ward (Ward No:122)	Backward Category A (Women)	Vijayanagar	Nirmala	33736	17355	16381	Kempapura Agrahara (P), Mariyappana Palya
123	Vijay Nagar Ward (Ward No:123)	General	Vijayanagar	H.Ravindra	36077	19009	17068	Vijayanagar, Hosahalli Extension (P), Cholurpalya, Vidyaranya Nagar, Manjunath Nagar
124	Hosahalli Ward (Ward No:124)	Backward Category A	Vijayanagar	Dr.S.Raju	32103	16662	15441	Hosahalli Extension (P), Hosahalli, Vijayanagar 1st stage, DOS colony, Binny Layout, Ambedkar Layout, Telecom Layout, Chevappa Garden, Krishnappa Layout
132	Attiguppe Ward (Ward No:132)	General	Vijayanagar	K.Doddanna	26806	13989	12817	Dwaraka Nagar, Nisarga Layout, Maruthi Nagar, Bapuji Nagar, Basaveshwar HBCS Layout, Widia Layout, BHEL Township, Income Tax Layout, Attiguppe, Binny Mills Employees Colony, Agromar Layout, BCC Layout, Nethaji Layout, Laripalya
133	Hampi Nagar Ward (Ward No:133)	General	Vijayanagar	T.Chandrashekaraiah	30355	15716	14639	Hosahalli Extension, RPC Layout, Vijay Nagar 2nd Stage, Maruthi Nagar, Kavika Layout
134	Bapuji Nagar Ward (Ward No:134)	Backward Category A	Vijayanagar	V.Krishna	36234	18996	17238	Shamanna Nagar, Guddadahalli, Manjunath Nagar, Kuvempu Nagar, New Guddadahalli, Anatha Nagar, Bapuji Nagar, Chowdappa Layout
